#{"t_start": 1747307122.818335, "env_id": "None"}
r,l,t
165289.722862,52,52.822592
163818.82262,52,52.831897
166653.861932,52,52.841381
164655.39453,52,52.850779
167626.375288,52,52.860362
164905.434289,52,52.869817
166099.673189,52,52.87919
164777.370775,52,52.888403
164408.469455,52,52.897766
166733.809104,52,52.907108
163622.711656,52,52.916527
163768.979018,52,52.925616
164437.360452,52,52.934662
166802.651385,52,52.943838
166839.432678,52,52.952922
165328.534061,52,52.961963
166809.639527,52,52.970999
165307.534249,52,52.980025
162879.195934,52,52.989073
166622.858914,52,52.998108
163110.762938,52,53.006852
165651.108441,52,53.015573
164114.173788,52,53.024297
166662.169365,52,53.03299
166278.508324,52,53.041664
165849.631127,52,53.05036
164339.27588,52,53.059047
163893.743937,52,53.067735
166163.517395,52,53.076487
164960.995479,52,53.085169
163396.534418,52,53.093847
164842.922645,52,53.10253
166280.576088,52,53.11119
165264.450813,52,53.119855
164425.905034,52,53.128521
164257.933346,52,53.137207
164873.152088,52,53.145895
165387.695108,52,53.371672
166201.758423,52,53.381092
163973.863967,52,53.390648
159930.343906,52,53.400316
159087.626354,52,53.409637
165092.997261,52,53.419124
167193.59198,52,53.428637
166390.55655,52,53.438356
165571.61213,52,53.447934
166138.523931,52,53.457251
165173.64088,52,53.46674
165617.713994,52,53.476188
165465.204746,52,53.485285
164712.388792,52,53.494346
166971.442232,52,53.503394
166824.354837,52,53.512406
166050.935398,52,53.521411
164275.556957,52,53.530449
167973.176899,52,53.539452
162859.864565,52,53.548494
164567.589731,52,53.557515
166537.667122,52,53.566578
163664.251413,52,53.575385
165309.089959,52,53.584056
162966.244461,52,53.592736
165547.134474,52,53.601471
167264.782838,52,53.610284
167446.35989,52,53.618981
166564.585182,52,53.627655
165649.417763,52,53.636328
164515.867951,52,53.645064
167421.339444,52,53.653728
164592.192287,52,53.662392
166220.514468,52,53.671473
164296.718888,52,53.680188
164414.149959,52,53.688903
164343.576218,52,53.697568
164468.196642,52,53.7063
164808.172818,52,53.715017
162397.900975,52,53.723735
165828.124374,52,53.942298
164884.925997,52,53.951905
164317.593134,52,53.961348
167494.194847,52,53.970884
165708.31437,52,53.980393
164172.668018,52,53.989844
164761.61255,52,53.999157
164780.696827,52,54.00857
166813.785893,52,54.01796
166484.267608,52,54.027414
164454.270371,52,54.036794
164353.265104,52,54.046127
165739.225654,52,54.055453
165133.859221,52,54.064561
165709.184534,52,54.073623
166305.079509,52,54.082711
166294.654098,52,54.091749
164752.226207,52,54.100801
165259.307442,52,54.109808
161406.471469,52,54.118819
165647.923685,52,54.127832
165200.283263,52,54.136799
166336.258657,52,54.145526
165625.65381,52,54.154258
165321.460798,52,54.162984
161305.327797,52,54.171683
164010.981297,52,54.180383
164762.101563,52,54.189083
164977.215656,52,54.197786
167101.568907,52,54.20646
165324.938939,52,54.215163
164833.209048,52,54.223818
165964.873041,52,54.23249
166040.09437,52,54.241197
166232.716222,52,54.250921
163506.440718,52,54.260543
165100.912177,52,54.271069
164479.836732,52,54.280798
167681.762614,52,54.293399
160016.549857,52,54.614676
165671.635387,52,54.62587
164871.525997,52,54.636746
166512.350536,52,54.646245
164777.799533,52,54.657553
165572.770856,52,54.667618
163783.107032,52,54.677313
164751.045401,52,54.686677
164368.118418,52,54.696201
164841.121443,52,54.705421
166444.611851,52,54.714717
163527.100453,52,54.724104
166734.545679,52,54.733373
162424.935923,52,54.742506
165403.391292,52,54.751766
165041.806847,52,54.760957
165907.135048,52,54.770491
164078.135714,52,54.779777
164821.625309,52,54.788841
165608.190299,52,54.798056
166566.920777,52,54.807192
164966.282007,52,54.816082
165598.964843,52,54.825056
165997.057448,52,54.834015
163606.110708,52,54.843072
164681.586958,52,54.852297
165242.53786,52,54.861636
166636.526782,52,54.871022
164833.935481,52,54.880198
165670.512487,52,54.889918
162502.649477,52,54.898819
166906.333028,52,54.907891
164185.750414,52,54.916868
163945.78839,52,54.925672
159929.620069,52,54.93446
162933.905708,52,54.943239
163953.361286,52,54.952014
163039.8079,52,54.960762
167060.643009,52,54.969521
166458.54658,52,54.978259
165296.224811,52,55.200382
165254.302621,52,55.210073
163877.316106,52,55.219602
165625.216049,52,55.229177
163965.783795,52,55.23874
165731.068244,52,55.248179
163181.787104,52,55.258321
165111.801869,52,55.26771
164188.310097,52,55.276986
161956.825057,52,55.286346
162343.473565,52,55.295554
165365.065188,52,55.304615
166535.223341,52,55.313605
162860.074644,52,55.322629
166464.488371,52,55.33163
163414.988956,52,55.340597
166894.882817,52,55.349565
165695.507945,52,55.358554
165780.720659,52,55.367467
166982.352276,52,55.376393
165143.252634,52,55.385393
165694.653194,52,55.394239
165456.73427,52,55.402882
162314.407747,52,55.411515
166238.25882,52,55.420142
164636.490262,52,55.428768
164851.326603,52,55.437396
161516.43347,52,55.446032
165592.659028,52,55.454706
165880.177106,52,55.463324
165446.114631,52,55.471934
165629.287217,52,55.480557
162002.272659,52,55.489168
166607.556714,52,55.497775
160658.797204,52,55.506366
164754.060515,52,55.514988
