#{"t_start": 1745835308.462683, "env_id": "None"}
r,l,t
142563.91304,52,8.189529
142914.097516,52,8.205703
142630.192109,52,8.221358
141993.746594,52,8.239224
143299.559344,52,8.254751
143222.848901,52,8.271241
141989.918725,52,8.286877
143222.045727,52,8.301608
142559.180425,52,8.316988
142747.745164,52,8.331647
142197.488901,52,8.34625
142063.022982,52,8.361499
142533.670844,52,8.37606
142498.582809,52,8.391241
142114.362138,52,8.406785
143214.431521,52,8.421515
142317.572957,52,8.436755
142395.350397,52,8.451352
142753.489289,52,8.466683
142283.443295,52,8.481917
142629.475334,52,8.497443
142609.048447,52,8.513512
142342.035173,52,8.52886
142837.023406,52,8.545201
142178.218011,52,8.561851
142802.459101,52,8.576938
142475.434337,52,8.592267
142746.726152,52,8.606887
142294.386323,52,8.622154
142186.072897,52,8.636748
142205.109828,52,8.651329
142563.149945,52,8.666511
142550.262285,52,8.681136
142236.068672,52,8.696333
143182.666454,52,8.711969
142840.870729,52,8.72662
142018.845203,52,8.741877
142348.10448,52,8.756514
142624.158874,52,8.772133
142031.263603,52,8.787407
141750.929399,52,8.802994
141837.748425,52,8.819062
142357.161747,52,8.834518
142988.093139,52,8.85195
142870.976083,52,8.867469
143076.461011,52,8.882638
142601.20272,52,8.897945
142548.822503,52,8.912575
143153.570481,52,8.927823
142660.006013,52,8.94241
142697.401343,52,8.957004
142085.441817,52,8.972301
142731.679941,52,8.98695
143304.256713,52,9.002696
142213.190525,52,9.017298
143459.681249,52,9.031917
142354.988743,52,9.047128
142877.149476,52,9.062821
142311.77138,52,9.079103
142299.280464,52,9.094772
142179.602251,52,9.110359
142254.666306,52,9.126377
141964.422755,52,9.142802
142700.102419,52,9.158604
142557.130344,52,9.173421
142464.583938,52,9.188304
143359.544294,52,9.203639
142227.561628,52,9.218268
141789.833405,52,9.233461
142774.81995,52,9.248101
142431.266241,52,9.262659
141888.76198,52,9.277824
142104.229788,52,9.293404
142183.411146,52,9.308758
143344.897495,52,9.323526
142497.861524,52,9.338143
143273.764465,52,9.353519
142602.793171,52,9.369191
143272.18689,52,9.38529
143024.688247,52,9.400853
141644.946052,52,9.416354
143104.376478,52,9.432389
142542.998639,52,9.44854
141808.602998,52,9.464432
142463.873943,52,9.47921
142793.756332,52,9.493909
142750.200165,52,9.509336
142895.991814,52,9.524009
142472.310314,52,9.539246
142069.634309,52,9.553853
142244.982593,52,9.56847
142232.186874,52,9.584723
143259.395779,52,9.599386
142949.584363,52,9.614616
141656.266934,52,9.629209
143603.600706,52,9.643779
141984.531293,52,9.659745
142694.333803,52,9.675151
142582.378367,52,9.69107
142765.383664,52,9.706615
142544.960157,52,9.72223
143118.975196,52,9.739273
142999.575232,52,9.75452
142104.762469,52,9.770059
142339.867427,52,9.784743
142866.697022,52,9.7994
142429.221895,52,9.814644
142380.967689,52,9.82924
142620.133441,52,9.844434
142329.33223,52,9.859043
142829.525451,52,9.873661
141982.72736,52,9.889924
141627.693809,52,9.904606
143172.867041,52,9.919833
143178.350611,52,9.934438
142224.350895,52,9.950012
142554.284202,52,9.966326
143230.610834,52,9.981641
142685.217972,52,9.997821
143315.144509,52,10.013448
142271.829824,52,10.029452
142060.118671,52,10.045725
142415.002734,52,10.060674
142137.984747,52,10.076402
142313.658694,52,10.091159
142466.285122,52,10.105758
142419.222466,52,10.120996
142042.533022,52,10.135557
143329.124406,52,10.150695
141985.850254,52,10.165343
142991.823173,52,10.180957
142339.101505,52,10.19623
142704.394643,52,10.210822
142023.525885,52,10.226024
142909.030336,52,10.241127
142627.65786,52,10.256691
142881.73499,52,10.273097
141925.079888,52,10.289049
143057.681112,52,10.305228
142728.133024,52,10.32174
142704.085646,52,10.33722
142203.716961,52,10.352872
142918.492756,52,10.367643
142603.033098,52,10.382915
142084.166903,52,10.397549
142867.539434,52,10.412202
142376.222928,52,10.427423
141839.303468,52,10.442023
142404.726307,52,10.457258
142508.109892,52,10.472983
142670.225996,52,10.487675
142731.867729,52,10.502962
142564.150874,52,10.517606
142124.483238,52,10.533184
142570.810578,52,10.548873
142209.73198,52,10.564103
141942.60199,52,10.579971
142149.483212,52,10.595256
142776.494612,52,10.611478
142097.248669,52,10.628009
142560.000825,52,10.643213
142670.133242,52,10.658664
142151.341802,52,10.673317
142251.846003,52,10.68857
143166.654375,52,10.703191
143176.476289,52,10.717804
143205.493489,52,10.733016
143243.039474,52,10.747616
143286.989299,52,10.76382
142968.716981,52,10.778506
142868.067159,52,10.793162
143130.02427,52,10.808335
142890.101164,52,10.823051
142301.259422,52,10.839154
141973.941662,52,10.85461
142744.976375,52,10.870075
142764.013753,52,10.886336
142032.989878,52,10.901499
142452.519512,52,10.918321
142069.998368,52,10.933245
142903.604753,52,10.94827
143254.334529,52,10.963755
143339.408976,52,10.978501
142316.211413,52,10.993737
142451.720267,52,11.008349
142181.448492,52,11.023006
142731.250025,52,11.03822
143352.300212,52,11.053655
142361.807868,52,11.068969
142357.389045,52,11.083641
142847.026488,52,11.098633
142231.190045,52,11.113875
143061.083372,52,11.12934
142335.285477,52,11.145278
142703.481263,52,11.16079
142424.304628,52,11.17617
142472.759936,52,11.192288
143110.154664,52,11.208789
142321.573482,52,11.224994
142213.47383,52,11.239844
142091.588242,52,11.254509
142040.018335,52,11.269735
143637.970579,52,11.284334
142345.393612,52,11.299549
142655.80431,52,11.314134
142084.681699,52,11.328707
143075.522693,52,11.343929
142883.948932,52,11.359525
142206.02651,52,11.374775
141639.622276,52,11.389405
141925.018944,52,11.403995
143268.848143,52,11.419486
142533.783329,52,11.434882
142164.146491,52,11.451102
142389.62351,52,11.466394
142124.880201,52,11.481815
142037.182869,52,11.498782
142612.874721,52,11.51431
142617.108418,52,11.529734
142839.398001,52,11.544426
142055.062081,52,11.559071
142867.682704,52,11.574265
142353.12071,52,11.588795
142285.361856,52,11.603965
142865.995899,52,11.618559
142757.806086,52,11.633104
142522.203361,52,11.649148
141464.616471,52,11.663833
143226.837497,52,11.679072
142940.698187,52,11.693727
142525.367195,52,11.708604
143004.689952,52,11.724646
142761.982517,52,11.740146
143050.470684,52,11.75616
142643.47563,52,11.771679
142867.534242,52,11.786958
142089.650939,52,11.803807
142976.501568,52,11.818772
142883.304528,52,11.834066
142125.206979,52,11.848717
142070.639712,52,11.863346
142600.559016,52,11.878564
143032.339398,52,11.893176
142947.998536,52,11.908385
142489.10552,52,11.923008
141886.504329,52,11.938529
142608.38609,52,11.95377
142373.180465,52,11.968352
141780.474734,52,11.983502
143396.392581,52,11.99829
142591.764121,52,12.01379
143479.918423,52,12.030035
142631.34354,52,12.045554
142923.136808,52,12.061542
142607.076962,52,12.076866
142373.41574,52,12.09294
143099.894114,52,12.108953
142447.401653,52,12.123754
142947.233199,52,12.139033
142980.867012,52,12.153656
142878.16986,52,12.168247
142567.325937,52,12.183514
142537.76232,52,12.198252
143182.859636,52,12.213415
142529.281448,52,12.229064
142530.751927,52,12.243779
141740.920229,52,12.259037
142167.825485,52,12.273674
142499.864968,52,12.288863
143446.499826,52,12.304801
142572.145733,52,12.320035
142118.335187,52,12.335955
142251.336337,52,12.351922
142403.35936,52,12.370094
142653.688414,52,12.388208
143112.210245,52,12.404538
141938.993397,52,12.420608
142472.292469,52,12.435422
142185.396925,52,12.45074
142587.46311,52,12.465425
142366.819466,52,12.480419
141970.134225,52,12.496482
142359.797502,52,12.511342
142447.748537,52,12.527722
143371.538851,52,12.543841
143144.249414,52,12.558515
142994.429372,52,12.573676
142053.255237,52,12.588357
142621.262117,52,12.604759
142886.84193,52,12.62042
142993.285688,52,12.635766
142958.136423,52,12.651901
142800.77288,52,12.667477
141727.176404,52,12.68463
142719.525106,52,12.699844
