#{"t_start": 1748454781.583168, "env_id": "None"}
r,l,t
143801.224653,52,3.039612
124204.091884,52,3.051014
123718.035793,52,3.061739
124651.657929,52,3.072625
130617.816001,52,3.083264
133132.318869,52,3.094425
134497.838496,52,3.105333
111054.581117,52,3.115845
117901.540583,52,3.12646
124568.029193,52,3.137693
134319.54383,52,3.148527
127384.189292,52,3.159627
142788.700399,52,3.170808
131662.921553,52,3.182318
142847.850179,52,3.193602
129354.670821,52,3.204817
112331.152892,52,3.215859
136366.500331,52,3.227899
118559.981691,52,3.239053
107888.124635,52,3.250117
135608.608066,52,3.261644
122206.186774,52,3.272958
124585.219292,52,3.283756
115610.015072,52,3.294828
108499.948565,52,3.305442
110354.150991,52,3.316622
122184.77052,52,3.327487
119759.190771,52,3.338153
135040.523509,52,3.349698
132353.727091,52,3.360962
147592.185363,52,3.371729
110037.398262,52,3.383046
147647.130098,52,3.394524
146425.217289,52,3.40605
143495.603966,52,3.417581
143885.727003,52,3.428932
148487.036117,52,3.439828
142748.133427,52,3.451473
116372.965241,52,3.462623
142165.364413,52,3.47378
131909.451372,52,3.484875
128892.137691,52,3.496455
139143.089322,52,3.507194
154050.282533,52,3.518139
118386.175071,52,3.52869
143116.468971,52,3.539836
130067.767824,52,3.550717
121486.031885,52,3.56124
124503.556388,52,3.571829
145983.640011,52,3.582679
117122.169606,52,3.593332
124499.925727,52,3.604203
141207.101841,52,3.616348
146488.164428,52,3.62775
106426.007221,52,3.639722
134387.873651,52,3.651162
143005.989322,52,3.662611
129046.32358,52,3.674161
115498.814516,52,3.685772
121102.987417,52,3.696907
120351.095019,52,3.708277
141065.772855,52,3.719545
138531.26155,52,3.730311
138226.275915,52,3.741407
136333.352872,52,3.752194
132992.218405,52,3.763451
131589.074661,52,3.774102
146586.335905,52,3.785353
124019.62052,52,3.796228
123119.165717,52,3.807229
130489.431188,52,3.818159
132936.981594,52,3.829586
137798.023443,52,3.841427
144467.687041,52,3.853397
138461.193355,52,3.864968
134101.946143,52,3.876491
137224.493366,52,3.887799
128185.945658,52,3.899667
137798.18761,52,3.910886
136448.852362,52,3.922222
150551.241778,52,3.933732
137476.88829,52,3.945671
147294.978857,52,3.957185
130929.994671,52,3.968208
134234.409862,52,3.979253
139108.896092,52,3.99055
144158.558184,52,4.001398
130265.918548,52,4.012236
128195.094559,52,4.023145
138874.20475,52,4.034948
124398.533584,52,4.046152
150628.653693,52,4.057808
143483.613613,52,4.06968
122863.834086,52,4.081666
150454.549268,52,4.093099
134918.381344,52,4.104433
143673.900745,52,4.11575
128618.396222,52,4.127192
149696.671941,52,4.138441
151686.224454,52,4.150034
113124.464496,52,4.161091
130521.239186,52,4.172639
133430.370931,52,4.183947
155475.745096,52,4.195268
157140.019925,52,4.20715
148437.345506,52,4.218579
146658.173323,52,4.229723
128880.60411,52,4.241375
117951.735708,52,4.252186
143970.684474,52,4.263724
143632.218159,52,4.277655
146560.55132,52,4.290615
