#{"t_start": 1745776270.3942888, "env_id": "None"}
r,l,t
173679.4172,52,91.964466
162688.113412,52,91.976906
174072.54648,52,91.989226
170380.305653,52,92.001641
171659.85887,52,92.014602
173558.267791,52,92.026981
172247.412976,52,92.039132
169893.074475,52,92.051523
169474.631024,52,92.064261
177052.099526,52,92.076645
167895.608695,52,92.088558
169445.940564,52,92.100371
159217.862507,52,92.112711
173501.272035,52,92.12472
174790.810675,52,92.136475
171220.097537,52,92.148512
172243.56795,52,92.160803
168582.404862,52,92.172508
169018.81699,52,92.18424
173364.726266,52,92.196003
171093.843537,52,92.208103
166152.686315,52,92.220711
174799.28487,52,92.233257
167769.428987,52,92.245618
158990.155618,52,92.258571
170749.226583,52,92.271425
168518.108256,52,92.284137
167535.400903,52,92.296463
174209.536741,52,92.309999
178222.494776,52,92.322085
170288.829276,52,92.334048
168916.13676,52,92.34612
141411.220776,52,92.358685
168557.915773,52,92.37065
166455.631757,52,92.382881
172285.502047,52,92.39508
166868.962274,52,92.407435
173994.467678,52,92.419139
171669.225658,52,92.430915
163860.831441,52,92.442706
169455.317675,52,92.454962
166464.948151,52,92.467513
172260.068357,52,92.480121
166823.292463,52,92.492581
174897.61441,52,92.505918
175847.54106,52,92.518697
178870.190962,52,92.531206
162850.282364,52,92.54374
165808.171826,52,92.556595
170460.469187,52,92.568991
172667.23399,52,92.580976
173864.87914,52,92.593119
169570.317804,52,92.605723
178340.913842,52,92.617576
172380.464794,52,92.629749
172674.153464,52,92.642035
178896.006876,52,92.654715
174599.496641,52,92.666663
174995.330598,52,92.678628
172749.450727,52,92.690577
178448.062623,52,92.703153
179655.987012,52,92.715492
179186.926125,52,92.727778
169914.599184,52,92.740831
181605.12919,52,92.754301
177176.614891,52,92.767149
160237.808959,52,92.779892
176393.507744,52,92.792172
178679.741253,52,92.805362
179848.773877,52,92.817739
175638.172084,52,92.829768
176644.452642,52,92.841988
184447.126709,52,92.854458
176981.201044,52,92.866883
180692.551966,52,92.878895
161183.847696,52,92.89193
167190.892895,52,92.904237
172307.067949,52,92.916454
170144.691187,52,92.928381
171435.447218,52,92.940218
159712.76785,52,92.953022
169830.09669,52,92.965933
169020.493805,52,92.978745
170145.806566,52,92.991131
158838.492548,52,93.00442
170733.451262,52,93.017061
162247.576026,52,93.030071
170644.78986,52,93.042611
