#{"t_start": 1744923385.571989, "env_id": "None"}
r,l,t
15948.034,100,14.075177
9184.2635,100,14.097925
8497.0965,100,14.124639
15905.944,100,14.14883
13413.3845,100,14.17151
13308.7515,100,14.193663
14323.4305,100,14.216542
17828.481,100,14.238886
7025.5335,100,14.261078
8380.0595,100,14.283145
13903.0605,100,14.30603
7050.049,100,14.329093
13648.31,100,14.352095
17044.7285,100,14.375534
9058.793,100,14.399513
19699.397,100,14.422222
18138.5265,100,14.444464
14939.2655,100,14.466669
15648.0785,100,14.490074
4307.246,100,14.512349
13607.3845,100,14.534522
12473.569,100,14.556935
11523.4995,100,14.579713
12850.516,100,14.602425
13914.384,100,14.626146
14724.367,100,14.649082
8381.97,100,14.673328
13826.9395,100,14.696425
15161.6915,100,14.718777
7104.759,100,14.740964
13966.698,100,14.763788
13613.9435,100,14.785818
16930.716,100,14.808073
11277.321,100,14.830519
12624.107,100,14.853832
15808.91,100,14.87712
16355.536,100,14.900258
10648.575,100,14.923404
16703.4115,100,14.947624
21067.487,100,14.970815
11803.0105,100,14.994944
14091.96,100,15.017355
15043.9505,100,15.040653
16857.6945,100,15.062941
18143.037,100,15.085356
8932.5935,100,15.107638
14244.389,100,15.130881
14518.1305,100,15.154055
22133.0505,100,15.177429
12614.345,100,15.200498
14027.3715,100,15.22424
14297.444,100,15.247351
12627.96,100,15.26993
19526.2295,100,15.292122
15684.7825,100,15.31552
18020.1075,100,15.337857
10234.49,100,15.36001
16548.1985,100,15.382193
15401.9495,100,15.405125
17383.755,100,15.427635
16075.9045,100,15.451006
19502.6875,100,15.474234
9804.4635,100,15.498456
15278.4375,100,15.521348
18549.9875,100,15.544102
18320.5815,100,15.566426
19279.25,100,15.589545
21471.986,100,15.611834
15193.6355,100,15.63395
9702.1255,100,15.655855
14997.564,100,15.678792
13890.855,100,15.70154
12330.487,100,15.72489
15622.926,100,15.748119
12249.312,100,15.772272
8032.6115,100,15.794891
13774.6635,100,15.817114
17369.491,100,15.839359
15717.4055,100,15.862676
2120.787,100,15.88497
10529.729,100,15.907547
9222.3325,100,15.929694
9201.251,100,15.952757
11564.0335,100,15.975612
18078.235,100,15.999095
11337.487,100,16.022405
9014.1625,100,16.046303
13852.183,100,16.069227
5359.158,100,16.091445
13125.7035,100,16.113706
14937.741,100,16.136648
9529.574,100,16.15876
15713.788,100,16.180765
18114.709,100,16.202687
6171.1915,100,16.225869
19425.4375,100,16.248939
13765.1925,100,16.272055
15795.664,100,16.295334
9604.863,100,16.319101
6640.4385,100,16.342218
12271.6125,100,16.364507
10770.5335,100,16.3866
10447.8175,100,16.409305
11196.5085,100,16.431625
15544.1225,100,16.454192
9845.6585,100,16.476481
12010.369,100,16.499802
8606.361,100,16.522972
12107.49,100,16.546108
13331.294,100,16.569409
12602.614,100,16.593269
13926.4665,100,16.615892
8856.3265,100,16.638392
9556.738,100,16.660587
10989.3155,100,16.684079
16122.5395,100,16.706388
14969.6795,100,16.728452
16037.5755,100,16.750652
13976.432,100,16.773846
6130.61,100,16.796609
11344.7665,100,16.819451
10649.921,100,16.842491
8680.128,100,16.866514
16254.426,100,16.889392
8994.9955,100,16.912514
16609.9015,100,16.934837
16818.9455,100,16.957999
11329.69,100,16.980423
13551.629,100,17.00275
14782.6775,100,17.02492
14430.9575,100,17.048011
14289.691,100,17.071356
24127.3885,100,17.094562
12364.3565,100,17.117633
9571.6485,100,17.142015
11894.505,100,17.165285
9703.713,100,17.187864
10121.59,100,17.210194
19288.6535,100,17.233176
7659.059,100,17.255532
10409.854,100,17.277716
19764.706,100,17.299783
11368.16,100,17.322965
13805.836,100,17.345775
10177.001,100,17.368984
12558.01,100,17.392452
7950.0145,100,17.4164
8730.249,100,17.439411
11004.08,100,17.461776
9048.1215,100,17.484079
9262.8625,100,17.507572
14139.8445,100,17.529926
13299.3355,100,17.552316
11664.2735,100,17.574501
13860.274,100,17.597944
14404.2515,100,17.621399
5936.994,100,17.644416
14318.743,100,17.667479
7237.1805,100,17.691398
9766.9785,100,17.714407
3784.2925,100,17.736914
8873.5665,100,17.759302
10384.8985,100,17.782409
2515.281,100,17.804685
6922.632,100,17.827097
9774.5415,100,17.849073
3992.245,100,17.872052
17364.164,100,17.894915
8873.2335,100,17.918439
13413.828,100,17.94304
12802.501,100,17.967114
10701.8155,100,17.989968
10745.2735,100,18.01231
16344.5035,100,18.034624
10925.0345,100,18.057827
8179.3155,100,18.080139
11402.9245,100,18.102388
7378.3385,100,18.12447
14194.146,100,18.147488
4047.2035,100,18.17073
15890.9465,100,18.19386
20851.263,100,18.216834
11992.1715,100,18.241079
5944.824,100,18.263838
8170.8275,100,18.286594
5726.895,100,18.308744
14672.0455,100,18.331854
9614.9125,100,18.35392
16868.3625,100,18.37585
280.6855,100,18.398039
12351.7975,100,18.421099
14982.868,100,18.443711
16109.24,100,18.466643
7130.822,100,18.490281
3829.4915,100,18.514497
6583.274,100,18.537183
11420.58,100,18.559332
7178.926,100,18.581527
13669.901,100,18.604773
12143.5325,100,18.627151
14655.6655,100,18.649224
8469.834,100,18.671452
8870.414,100,18.69455
9773.785,100,18.717798
13544.452,100,18.741174
12270.1215,100,18.764475
10527.595,100,18.788368
11809.8945,100,18.811151
