#{"t_start": 1745774387.514453, "env_id": "None"}
r,l,t
184034.050916,50,232.421424
181811.251743,50,232.432969
182123.376829,50,232.445303
184606.994603,50,232.456977
178815.354233,50,232.468955
177494.712543,50,232.480451
181754.795239,50,232.492898
178126.461011,50,232.504491
180741.297891,50,232.516118
170384.199026,50,232.527187
179777.153812,50,232.539751
181808.101231,50,232.550722
143535.984102,50,232.562166
175339.940188,50,232.573162
152263.705613,50,232.584971
168040.044055,50,232.596009
176006.341594,50,232.60729
177315.982846,50,232.618292
175304.398668,50,232.630175
159196.460604,50,232.641206
177860.331815,50,232.653206
169730.87738,50,232.664606
184758.759205,50,232.677467
174870.714162,50,232.689082
170965.492265,50,232.701044
170199.435165,50,232.712591
176388.92285,50,232.725257
151323.357317,50,232.73682
177429.100118,50,232.748697
177807.964235,50,232.759977
175725.7267,50,232.772111
180978.603148,50,232.783248
192382.531761,50,232.794825
188726.542278,50,232.80587
189087.012183,50,232.81758
190496.048223,50,232.828543
188630.763336,50,232.839818
186601.219138,50,232.850938
191570.530329,50,232.862932
188728.932642,50,232.874214
187429.336711,50,232.886168
179754.855137,50,232.897638
188833.950255,50,232.909719
177071.81999,50,232.92106
184671.319114,50,232.933055
185023.837428,50,232.9445
186114.605078,50,232.957004
195461.579191,50,232.9685
187287.258187,50,232.980381
190855.834978,50,232.991507
192250.678613,50,233.0037
178653.918159,50,233.014718
184724.68744,50,233.026256
167272.836074,50,233.037191
166161.154039,50,233.049169
164099.721607,50,233.059977
167363.595733,50,233.071463
157970.535619,50,233.082451
168483.555054,50,233.094573
169946.705707,50,233.105726
161332.732107,50,233.117728
173788.879169,50,233.129215
175229.730305,50,233.141849
170562.055954,50,233.153421
164334.910586,50,233.165141
166841.717558,50,233.176713
166523.248242,50,233.189035
165321.082242,50,233.200645
165489.285131,50,233.212608
172673.001319,50,233.223826
170153.88332,50,233.236093
179850.56358,50,233.247106
174389.050723,50,233.25848
186109.514568,50,233.269526
175837.146725,50,233.281425
182943.957193,50,233.292477
176394.644943,50,233.304033
173837.090649,50,233.315103
176985.599484,50,233.326934
165932.025448,50,233.337943
183470.877511,50,233.350041
180610.518941,50,233.36125
180237.016396,50,233.37337
173411.778343,50,233.385086
171512.01782,50,233.396794
172221.444671,50,233.408315
178230.108535,50,233.420772
179025.706175,50,233.432543
168995.581593,50,233.444497
175453.253335,50,233.455638
174965.775298,50,233.467845
181296.403063,50,233.478868
183151.011132,50,233.49051
181832.770547,50,233.501688
170962.859517,50,233.513662
182260.420431,50,233.524569
180421.686894,50,233.535878
179864.845569,50,233.547271
174195.866557,50,233.559073
175619.499474,50,233.570403
173007.137933,50,233.582195
178155.34738,50,233.593911
166195.49363,50,233.606116
173245.229507,50,233.617577
182311.855303,50,233.629663
165696.954577,50,233.641451
168162.639633,50,233.653624
161283.302096,50,233.665308
158394.273816,50,233.677223
155346.146699,50,233.688422
161933.376595,50,233.700667
179048.203211,50,233.711689
177546.419779,50,233.723152
177810.36274,50,233.734163
181769.774809,50,233.745918
175404.499063,50,233.756894
182767.261461,50,233.768381
179981.860471,50,233.779425
175728.851083,50,233.791225
181215.039456,50,233.802354
182954.17505,50,233.814064
184497.485857,50,233.825663
178942.147547,50,233.838028
191142.256938,50,233.849522
179750.811873,50,233.861389
181994.29277,50,233.872834
187049.312511,50,233.885385
182660.899807,50,233.897012
186773.214078,50,233.908834
162258.373581,50,233.919864
184283.898895,50,233.932187
174626.670414,50,233.943185
183910.845969,50,233.954673
177941.074598,50,233.965613
184955.018074,50,233.97758
182650.940875,50,233.988698
179342.441132,50,234.000366
180438.212003,50,234.011472
189096.938578,50,234.023312
184257.092882,50,234.034356
183238.466365,50,234.046277
184124.522961,50,234.057801
183496.200264,50,234.070383
185456.098255,50,234.081999
190158.985615,50,234.094009
186895.199846,50,234.105603
186355.351809,50,234.117802
175961.247652,50,234.129248
181321.771143,50,234.141134
182073.693607,50,234.152076
178356.035867,50,234.164134
187861.555815,50,234.175147
185749.285327,50,234.186674
187024.74146,50,234.197899
180825.24611,50,234.209941
177861.678236,50,234.220977
178842.408479,50,234.232343
178853.555182,50,234.243412
180725.300677,50,234.255165
165447.755503,50,234.266194
173181.211364,50,234.278299
172647.272262,50,234.290548
181286.491038,50,234.302817
180438.239552,50,234.31437
182079.481605,50,234.326573
183265.706448,50,234.338337
177270.256955,50,234.350943
183551.737101,50,234.362648
186951.517107,50,234.374743
176940.419034,50,234.386
185494.814852,50,234.398336
185495.467614,50,234.409414
168673.747616,50,234.420663
181603.658467,50,234.4318
176199.245656,50,234.443683
165486.045632,50,234.454627
184360.251692,50,234.466116
174760.274366,50,234.477119
158411.013074,50,234.488845
182614.90274,50,234.500112
168323.844802,50,234.51208
175427.407357,50,234.523434
166387.028672,50,234.535741
177010.503919,50,234.547318
163546.423444,50,234.559426
180258.52267,50,234.570909
182020.665266,50,234.58351
166272.173829,50,234.595014
172813.715215,50,234.606606
166849.847929,50,234.618027
178926.200074,50,234.630153
174998.764949,50,234.641207
179473.680833,50,234.652678
185879.046229,50,234.663798
178708.332651,50,234.675531
178724.665963,50,234.686558
158506.124459,50,234.697846
175939.767444,50,234.708768
184760.01105,50,234.720715
183000.457641,50,234.731662
178908.898722,50,234.743517
182608.108284,50,234.755064
182779.786563,50,234.767706
181276.386763,50,234.779257
150730.849098,50,234.791317
173255.751164,50,234.803023
175010.68504,50,234.815338
173567.571938,50,234.82706
179306.488572,50,234.839062
175369.928415,50,234.850172
171785.784106,50,234.862472
158436.361228,50,234.873581
187797.298061,50,234.885161
187606.897976,50,234.896326
182871.409622,50,234.908208
190096.254229,50,234.919298
185268.895356,50,234.930876
179667.412402,50,234.94187
175946.818325,50,234.953626
180189.108977,50,234.96497
175775.558069,50,234.977165
180403.353675,50,234.988568
179611.573948,50,235.001036
167894.277047,50,235.012532
181720.302034,50,235.024415
180987.077845,50,235.036056
183275.518039,50,235.048372
180612.958488,50,235.059743
179827.436434,50,235.071465
174632.943402,50,235.082495
178421.887174,50,235.094497
180569.927562,50,235.105513
180461.087492,50,235.117031
171226.525809,50,235.127937
157989.395031,50,235.139847
178888.337148,50,235.150966
179456.10732,50,235.162447
171370.466168,50,235.173532
185555.479107,50,235.185404
170844.479473,50,235.196357
178116.400143,50,235.20803
181218.754035,50,235.219854
175838.026564,50,235.232278
173649.512677,50,235.243751
183421.254393,50,235.255534
174882.035195,50,235.267238
183486.481826,50,235.279682
183237.662798,50,235.291243
178195.196315,50,235.303173
182280.968463,50,235.31447
180559.678329,50,235.326606
171890.739199,50,235.337571
182757.873973,50,235.348875
181234.772555,50,235.359767
